sentence,growth,slow,grown,rate,grew,new,increase,profit,sales,profitability,revenue,margin,ebitda,fast,eps,%,quarter,top,progress,bottom,strong,organic,drivers,high,add,improve,consistency,annual,quarterly,income
" Let's move into the segments now, first Automotive. Over the past several quarters, I talked about our next-generation rear-seat entertainment system EVO and OEM programs with GM, Ford, Nissan, and Mazda. These programs, along with our OEM remote start program with other OEMs and gains from Subaru, continue to drive our performance. Total OEM sales in Q3 were up close to 37%. I did note on our Q2 call that the OEM momentum would continued into the third quarter and likely slow a bit in Q4 and that remains the case. But for the year OEM is anticipated to be strong",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
" The strong financial performance is mainly related to the continued growth and upsizing in residential internet and commercial services. Rate increases and the ramp up of the Florida expansion plan which is now positively contributing to EBITDA. The rate increases in the MetroCast systems were implemented in early October. The rate increases in the other systems were implemented in August. Given that marketing expense in Q1 were lower due to the timing of certain initiatives, we expect mid to high single-digit organic growth for the full fiscal year.",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
" This revenue increase, coupled with disciplined expense control, resulted in consolidated segment profit growth of 8% while consolidated segment profit margins improved by 2 percentage points over last year. This clearly demonstrates the power of our improved operating leverage as we continue to drive efficiencies throughout the business.",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As we break down that growth, 45% of the growth in the past year did come from commercial real estate and 55% came from traditional commercial industries. But itâ€™s really quality growth, the majority of that growth on the CRE side came from existing clients.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As you saw in our earnings release this morning, we concluded our third quarter with continued net sales momentum. We grew 2.4% in the quarter, which included core business growth of 2.9%",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" To emphasize this point, in the latest quarter, our software and subscription service business contributed 23% of consolidated revenues up 25% year-over-year driven by freight transport subscriber additions and LoJack recurring revenue growth.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Total loans of $26 billion grew $369.5 million sequentially or 5.7% annualized and 4.7% from a year ago. We were pleased to see steady loan growth again this quarter with C&I up $278 million and consumer loans up $240 million, somewhat offset by commercial real estate loans, which declined $148 million",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" We saw a strong growth in our business segments, to give you a few examples, in financial services 3.6% sequentially, 9.4% year-on-year; energy, utilities resources and services, 7.4% sequential, 17.3% year-on-year; manufacturing 7.6% sequentially, 16.2% year-on-year, all in constant currency",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 We are pleased to report net sales for the second quarter of fiscal 2019 grew by 5.7% versus the second quarter of fiscal 2018. We still have double digit growth for the year compared to last year. Last year marked the highest level of sales since 2011 and included an extra week in the first quarter,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" At Lifecore, we delivered another quarter of strong revenue growth. Landec's recent investments in our specialty CDMO business to provide additional aseptic filling capacity continue to position Lifecore for future and ongoing growth.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
" Digital revenues had another good quarter with 5% sequential growth and 33.1% year-on-year growth in constant currency terms. Our core services had a robust performance this quarter with 1.8% sequential growth in constant currency terms. In terms of geography, North America had a growth of 2.6% sequentially, 8.7% year-on-year; Europe 3.8% sequentially, 9.8% year-on-year, all of this in constant currency terms.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Digital revenues had another good quarter with 5% sequential growth and 33.1% year-on-year growth in constant currency terms. Our core services had a robust performance this quarter with 1.8% sequential growth in constant currency terms. In terms of geography, North America had a growth of 2.6% sequentially, 8.7% year-on-year; Europe 3.8% sequentially, 9.8% year-on-year, all of this in constant currency terms",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" For the quarter, NIKE Inc. revenues grew 10%. On a currency-neutral basis, NIKE Inc. revenue increased 14%. Gross margin was up 80 basis points to prior year and earnings per share was up 13% to prior year. Specific highlights include 9% growth in North America and nearly 20% constant currency growth in our international geographies. Digital growth of 41% on a constant currency basis and continued momentum in both sportswear and performance categories, including a return to growth in the Jordan business.",1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" For the second quarter, we generated solid top-line sales of $1.360 billion, reflecting an organic increase of 3% and acquisition growth of 2.6% over last year's second quarter. Current quarter sales also include the unfavorable foreign exchange impact of 2%. Growth was fairly well balanced between our grant organic initiatives and acquisitions, while foreign currency translation obviously reduced sales. Organic sales growth was evenly spread across our three operating segments, which demonstrates the value and our approach to deliberately maintaining a strategic balance between our segments and a focus on growth as we pursue our 2020 MAP to Growth initiative.",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
" Having said that, fourth quarter revenues were a record for the period, our fourth highest quarter ever and the tenth quarter in a row with same-store sales growth. As for margins, had the sales tax settlements from our non-GAAP calculations been excluded, operating margins would have been 30 basis points ahead of the year ago quarter",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" High-end beer is driving virtually all the U.S. beer category growth and Constellation as the leader in the high-end beer is driving a significant portion of that growth. As a matter of fact, in the month of December, which is the largest month of our fourth quarter, beer depletions accelerated to a rate that was ahead of our fiscal year-to-date growth rate of 9%",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
" In Global Consumer Banking, in the US, we saw 4% underlying growth in Branded Cards and 6% revenue growth in Retail Services this quarter, and Retail Banking grew 5% ex-mortgages. Internationally, we saw good growth in Mexico, especially in the cards products, while Asia was impacted by lower revenues from investment products.",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" In regards to our sales outlook for fiscal 2019, we expect full year fiscal 2019 Industrial segment sales to grow in the mid-single digit range as it benefits from steady commercial construction activity and a recovery in the oil and gas market. In our Consumer segment, we anticipate sales growth in the mid to upper single-digit range, resulting from recent market share gains and stepped up advertising to support new product placements. In our Specialty segment, we expect sales growth in the low single-digit range. We have additional price increases negotiated recently, which are scheduled to be implemented in February and March as we look forward this year.",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Itâ€™s the best quarter we had in over four years. We were up 5% and markets that were up 2% so both very good signs. We grew revenues in all three months of the quarter. We grew revenues in all of our markets and weâ€™ve outperformed in New York and Indianapolis and ratings have been very good in New York, HOT 97, WBLS are both not only top 5, 18 to 49 but 25-54 and Indianapolis B105 has been the number one station pretty consistently with adults and women.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
" Similar to last quarter, our consumer portfolio experienced growth across all categories, including mortgage HELOC, lending partnerships and credit card. From a geographic standpoint, our metro markets continue to drive a large share of overall loan growth. Total average loans grew $304 million sequentially. Compared to the same quarter a year ago, average loans grew $1.01 billion or 4.1%. We continue to be pleased with the balance loan composition and diversification of our balance sheet.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Also we are having an uptick in publishing division, I think I told you on the last call that we've got a change in management there and the first trip we made to our major retail account we book sales and that will need more than we had in the entire year last year and this continues we're going to see a very nice increase during the year in the retail section of the business. So -- but that's small, thatâ€™s been around $10 million, so if we grew at 20% it's just a couple of million. So our growth -- we really want growth in the UBAM Division and that's what we're expecting.",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As I mentioned, weâ€™ve guided to $220 million to $225 million in revenues for this year. In our most recently reported quarter, we reported $58.3 million of revenue in the third quarter. That represented 64% year-over-year growth",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Deposits were up 2.9% quarter over quarter and 9.2% year over year, primarily driven by growth in time deposits and savings accounts.With the solid growth in deposits coupled with our strategy to selectively grow loans and leases, our loan-to-deposit ratio at yearend was 97% compared with 99% a year ago. ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" I'd like to start by stating that we're pleased with ZILRETTA's clinical and commercial performance in its first full year on the market. As we announced yesterday, we estimate Q4 ZILRETTA product revenue of approximately $9.5 million, which represents strong growth of 36% over the previous quarter.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
" In Europe, organic growth was up plus 1.9%. Sports & Leisure was strong, thanks to a strong autumn tourist season in Paris. Corporate Services continued to generate modest growth with solid net contract wins. Energy & Resources is stabilizing. However, Government & Agencies still impacted by the exit of the British Army contract, which happened progressively through fiscal '18.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
" In Global Consumer Banking, in the US, we saw 4% underlying growth in Branded Cards and 6% revenue growth in Retail Services this quarter and Retail Banking grew 5% ex-mortgages. Internationally, we saw good growth in Mexico, especially in the cards products, while Asia was impacted by lower revenues from investment products.",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" In spite of somewhat softer market conditions, we achieved strong top and bottom line growth in the fourth quarter, driven by the successful integration of CalAtlantic. Revenues for the quarter totaled $6.5 billion, representing a 71% increase from 2017. This was largely driven by 64% increase in deliveries to 14,154 homes. Our gross margins, excluding backlog and construction in process write-up totaled 22.1%.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
" In spite of somewhat softer market conditions, we achieved strong top and bottom line growth in the fourth quarter, driven by the successful integration of CalAtlantic. Revenues for the quarter totaled $6.5 billion, representing a 71% increase from 2017. This was largely driven by 64% increase in deliveries to 14,154 homes.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
" In the first quarter of fiscal 2019, sales of WD-40 Multi-Use Product was $78.3 million, up 5% compared to the first quarter of last year. This reflects excellent progress towards our most important strategic initiative to grow WD-40 Multi-Use Product to approximately $530 million in revenue by the end of fiscal 20 -- year 2025.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
" Infrastructure segment revenues for the first quarter were $24.3 million, an increase of 15% over the same quarter last year. The increase resulted from higher Road Zipper System sales which were partially offset by lower sales of road safety products.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Let me explain period end loan trends in more detail, starting with the commercial portfolio on page eight. Commercial loans grew $10 billion from a year ago, and $11.5 billion from the third quarter. C&I loans have grown for five consecutive quarters and increased $12.2 billion from the third quarter. This growth was broad based across a number of our wholesale businesses and was largely to investment grade, corporate credits and high quality middle market borrowers.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
" Now turning to our Natur-Tec bio-plastic business, for the fiscal 2019 first quarter Natur-Tecâ€™s net sales were $4.0 million, an increase of nearly 100% over the same period last fiscal year and have increased 400% since the fiscal 2016 first quarter. Natur-Tec continued to achieve significant growth rates as a result of strong demand in North America through our domestic distribution network as well as higher sales of finished products by NTICâ€™s majority-owned subsidiary in India",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
" Our close relationship wit American Express is a source of competitive advantage. In 2018, we drove $360 million of incremental value of our total contribution of $3.4 billion. During 2018, we set a new record with over 1 million co-brand acquisitions, and spend across the card portfolio grew double digits. In the December quarter, revenue grew 7% on a 3.2% unit revenue improvement. Corporate revenues grew 7% in the December quarter on both volume and fare improvements with growth across almost all sectors. Revenues from premium products were up 10% in the December quarter on a 4% increase in premium capacity.",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Our information business increased 2% including 3% organic growth, led by strength in our pricing and reference data and valuation services business. Processing declined 6%, including 5% organic decline. And solutions increased 10%, including 10% organic growth. Solutions growth was led by our loan services business.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
" Our Q1 organic growth has been solid in the middle of the range of our guidance for the year. And thanks to a nearly 5% impact of acquisitions and a very little currency impact. We are back to growth in the top line with the total revenue up 6.8%. On-site organic growth has been 2.3% with the U.S. flat. And outside of North America, we are up 4.2%. There has been an improvement both in Health Care and in Education in North America. However, we remain cautious because we still see retention risks in the Health Care and Education even though there were some encouraging contract wind in Health Care",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
" Our solutions practices are up 36% year-over-year. The leading driver continues to be the technical accounting practice, where we are helping clients comply with new accounting standards, particularly the new lease accounting standards. We are working with clients large and small on data extraction, software implementation, and reporting compliance. Many of these projects have been won in competition with the Big Four.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Our wireless division continues to thrive as we added over 86,000 postpaid customers in the quarter and delivered significant revenue and EBITDA growth. The success we are achieving in postpaid customer growth is a direct result of our strategy to enhance the network experience and reposition Freedom Mobile as a strong and differentiated competitor in the Canadian wireless landscape. Our efforts and focus over the quarter were aligned with our strategy as we continue to move up market and add higher value customers",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
" Second, we grew our assets under management to $444 million, an increase of 13% from $393 million as of Q2 and up 31% from $339 million as of the same time last year. From a longer term perspective, our current AUM reflects 186% increase from $155 million over the past five years. This quarter continues to demonstrate the success of our growing origination platform with a healthy $74 million of originations, including investments in one new portfolio company, bringing the total to eight new platforms since May",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" So in summary, we are putting in the foundations for accelerated revenue, new software, new business development processes, expanded resources, and as we start to see the signs of that growth with new customers, re-acquired customers, and expanded agreements, we expect to see increases in revenue growth and profitability near-term",1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Turning first to our Specialty Memory business, net sales grew by almost 14% sequentially to reach $140 million for the quarter. The continued proliferation of all-flash arrays within server and storage applications was a strong driver for this business. Behind this growth, our applications such as artificial intelligence that utilize all-flash arrays for data access. Flash is also becoming more prominent industrial applications, which are requiring more application-specific solutions compared to the normal datacenter applications. We continue to make excellent progress in developing key new solutions for our OEM customers",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
" We also continue to focus on our third strategic objective to grow our annual ferrous volumes to 5 million tons companywide. Our run rate over the past 12 months is 4.5 million tons. Our success in growing our volumes over the last three years has been driven by a dedicated focus on commercial initiatives, including analytics to expand our customer base and supply channels and logistics to enable us to expand our market access, supported by positive market conditions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" We believe the strength of our brand portfolio as well as our enhanced product offerings and new channel penetration drives customer demand, which when combined with our global scale and broad based supply, give us a unique advantage in addressing the ongoing migration of travel bookings from offline to online around the world. With our unmatched global audience of travelers, and our deep and broad selection of travel products, there is a rich interplay between supply and demand in our global marketplace that helps us provide value to both travelers planning trips and supply partners wanting to grow their business through a better understanding of travel retailing and consumer demand in addition to reaching consumers in markets beyond their reach. Our primary growth drivers are global expansion, including of our supply portfolio, technology and product innovation, and new channel penetration and expansion.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
" We had broad-based momentum during the quarter, which led to year-on-year growth crossing 10% in constant currency terms at overall level and also for retail, energy, utilities resources, and services, manufacturing and hi-tech at the companyâ€™s level. Volume grew 2.6%, which is good considering that quarter three is a seasonally weak quarter.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" We saw continued growth in our core peripheral products, which includes angiographic catheters due to the combination of our widely trusted technology and strong execution related to the sales force restructuring we implemented at the beginning of our fiscal year.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" We were pleased to see steady loan growth again this quarter with C&I up $278 million and consumer loans up $240 million, somewhat offset by commercial real estate loans, which declined $148 million. Declines in the CRE were spread across multifamily, shopping center, hotel and nonstrategic land and development portfolios. C&I loan growth was driven primarily by our general commercial banking teams across the footprint and was aided somewhat by seasonal growth in line utilization",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" While software related revenue grew faster than consulting revenues this quarter, our forecast anticipates the consulting revenue growth will outpace software revenues over the course of the full fiscal year. And we have sales pipeline which supports this expectation. First quarter revenue growth was strong in the context of our historical seasonality trends, and we are in line with our historical organic annual growth, in the 10% to 15% range on an annual basis.",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
" While we continue to add to the Play MPE system with the goal of expanding our addressable market in facilitating the sales function, we are at a stage where we can confidently engage with new customers. Play MPE is a self reinforcing ecosystem on one technology platform with market segments -- with new market segments our usage with snowball as we grow our ability to grow expand. With little customer acquisition costs and low turn, we expect to commence a long-term sustainable pattern of increasing revenue",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Net interest income was up 16.3%. Net income was up 12.7% and earnings per share were up 11.6%. Our growth in net interest income clearly demonstrates the power of consistent earning asset growth. A key driver of this net interest income growth is our largest loan portfolio single-family home loans. This portfolio grew by 20.5% during the year.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 We are pleased to report net sales for the second quarter of fiscal 2019 grew by 5.7% versus the second quarter of fiscal 2018. We still have double digit growth for the year compared to last year. Last year marked the highest level of sales since 2011 and included an extra week in the first quarte,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 We had a strong performance in Q3 with 2.7% sequential growth in constant currency terms and 2.2% growth in reported terms. The revenue growth year-over-year is 10.1% in constant currency. This is a reflection of a unwavering focus and the needs of our clients and the clientsâ€™ trust in Infosys,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" A tight labor market coupled with heightened public construction spending should continue to support solid growth in our important end markets. Overall, the non-residential construction market, a key market for us, continues to perform well with spend increasing approximately 7.3% in comparison to the prior-year.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Eurozone growth has slowed from 2.5% last year to under 2% in the second half of 2018, and economic growth in the U.K. has slowed sharply since July. The secular slowdown in Chinese economy has been exacerbated by trade tensions. Spillover effects from these tensions and the fading tech cycle have negatively impacted growth throughout Asia. Emerging Asia growth slowed from 6% in 2017 to 5.6% in Q3. World trade slowed in Q3 to just 3.5% compared to 5.3% in Q3 2017. Leading indicators point to positive, but even slower trade growth near term",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Beyond these 1,200 acres, we expect to plant an additional 500 acres of lemons in the next 2 years and believe this additional acreage will increase our annual global lemon supply from our current level by approximately 30% or 900,000 cartons to 1.3 million additional fresh cartons, as the nonbearing and planned acreage become productive.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" Todayâ€™s results 2.4 million additions in a single quarter with the biggest customer connections gain that we ever had in a quarter in our entire history. 1.4 million postpaid and that was the biggest Q4 in the years, 1 million postpaid phones, prepaid growth 135,000, 0.99 churn, major improvement year-over-year",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" In Q1, in Massachusetts, we did over 400,000 in revenue. This is up 68% compared to Q4; we only did 250,000 revenue. As we sit here almost halfway through Q2 of fiscal â€˜19, weâ€™ve almost surpassed our Q1 number of 413,000 in Massachusetts, meaning weâ€™re on pace to double again in Q2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Most of these brands are by now familiar to those of you who follow Amgen closely, but what might not be so familiar to you is the fact that these now comprise some $4 billion of revenues and these products were growing at double-digit rates throughout the course of the last 12 months.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
